Name,velocity_m_s,phi_from_y_deg,theta1_from_y_deg,theta2_from_y_deg,fx_net_n,fy_net_n,mz_net_N_m
dp0,10,0.1,30,30,-0.75462556,26.068754,0.10041372
dp1,10,0.1,30,50,-4.3608127,30.826788,1.1270139
dp2,10,0.1,30,70,-4.4855323,34.095943,1.9862328
dp3,10,0.1,30,90,-2.073281,36.712658,2.4621236
dp4,10,0.1,30,110,1.0773095,37.278641,2.698725
dp5,10,0.1,30,130,4.579679,36.104801,2.5401647
dp6,10,0.1,30,150,7.7220411,33.767487,2.0436931
dp7,10,0.1,50,30,3.4785278,30.85644,-0.99187505
dp8,10,0.1,50,50,-0.11653875,36.889706,0.009731115
dp9,10,0.1,50,70,-0.23112708,40.95805,0.89827102
dp10,10,0.1,50,90,2.1730657,42.716236,1.377966
dp11,10,0.1,50,110,5.2911735,43.190102,1.6016135
dp12,10,0.1,50,130,8.5182848,41.797321,1.5187287
dp13,10,0.1,50,150,11.718601,40.114285,1.1063277
dp14,10,0.1,70,30,3.4809182,35.530468,-1.8742763
dp15,10,0.1,70,50,-0.000207045,41.364006,-0.90759557
dp16,10,0.1,70,70,-0.049115751,46.519257,-0.018845221
dp17,10,0.1,70,90,2.2353568,48.157845,0.51810092
dp18,10,0.1,70,110,5.4869761,48.281059,0.74032974
dp19,10,0.1,70,130,9.0895147,48.346413,0.63551849
dp20,10,0.1,70,150,11.689334,45.044708,0.29429933
dp21,10,0.1,90,30,1.5236325,36.53117,-2.3656871
dp22,10,0.1,90,50,-2.0972731,42.656521,-1.4094037
dp23,10,0.1,90,70,-2.3375449,47.559715,-0.53412366
dp24,10,0.1,90,90,-0.13737592,51.474491,0.030476103
dp25,10,0.1,90,110,3.2838695,52.28447,0.22766893
dp26,10,0.1,90,130,6.7323227,50.891777,0.16582628
dp27,10,0.1,90,150,9.3941374,47.442795,-0.16980934
dp28,10,0.1,110,30,-2.1200516,36.452488,-2.4655714
dp29,10,0.1,110,50,-5.354321,42.894333,-1.6322523
dp30,10,0.1,110,70,-5.7266378,48.440186,-0.67607206
dp31,10,0.1,110,90,-3.5446515,52.38958,-0.1808203
dp32,10,0.1,110,110,-0.22898132,53.642899,-0.020088414
dp33,10,0.1,110,130,3.0752783,50.807915,-0.13008642
dp34,10,0.1,110,150,6.2666903,50.225513,-0.42129627
dp35,10,0.1,130,30,-5.1958156,36.841461,-2.4194181
dp36,10,0.1,130,50,-8.6656151,42.013313,-1.5500909
dp37,10,0.1,130,70,-9.0519295,47.557903,-0.64445049
dp38,10,0.1,130,90,-6.9642267,50.116657,-0.14947793
dp39,10,0.1,130,110,-3.4683611,52.051674,0.11770822
dp40,10,0.1,130,130,-0.057489756,49.916981,0.00893136
dp41,10,0.1,130,150,2.6083138,47.441525,-0.37264511
dp42,10,0.1,150,30,-8.0606756,33.312149,-1.9775391
dp43,10,0.1,150,50,-11.203942,38.47702,-1.1404015
dp44,10,0.1,150,70,-11.898909,45.240772,-0.25732681
dp45,10,0.1,150,90,-9.6845903,47.877819,0.19584112
dp46,10,0.1,150,110,-6.3624015,49.301174,0.42486832
dp47,10,0.1,150,130,-2.9305007,48.097759,0.32519546
dp48,10,0.1,150,150,-0.12023842,44.885136,0.02962975
dp49,10,15,30,30,-3.2683294,28.723597,-0.98404729
dp50,10,15,30,50,-6.4064074,30.735519,-0.45991886
dp51,10,15,30,70,-8.9066105,35.121601,0.53694218
dp52,10,15,30,90,-8.7547722,39.150524,1.315559
dp53,10,15,30,110,-6.6352367,40.115963,1.6628628
dp54,10,15,30,130,-2.9883802,40.588432,1.6036198
dp55,10,15,30,150,0.21627235,40.57642,1.399631
dp56,10,15,50,30,-2.2014768,32.221966,-1.9008863
dp57,10,15,50,50,-4.9791231,33.605148,-1.3715657
dp58,10,15,50,70,-7.9182878,39.289757,-0.31980622
dp59,10,15,50,90,-7.6691422,44.281219,0.40433848
dp60,10,15,50,110,-5.2686152,46.814342,0.74333042
dp61,10,15,50,130,-1.8204948,46.566219,0.70931429
dp62,10,15,50,150,1.3218088,45.076809,0.48768544
dp63,10,15,70,30,-5.2606721,36.052963,-2.3384528
dp64,10,15,70,50,-6.9495077,37.121212,-2.0708783
dp65,10,15,70,70,-9.7187719,41.845901,-1.0064706
dp66,10,15,70,90,-9.645896,47.206371,-0.24372539
dp67,10,15,70,110,-7.1145825,49.180511,0.090178631
dp68,10,15,70,130,-3.7345338,50.414635,0.11578598
dp69,10,15,70,150,-0.56540251,48.941673,-0.22263448
dp70,10,15,90,30,-8.8840199,36.792004,-2.5591931
dp71,10,15,90,50,-10.396042,38.634018,-2.5316267
dp72,10,15,90,70,-12.914446,42.777931,-1.4071763
dp73,10,15,90,90,-12.978188,48.564453,-0.63198775
dp74,10,15,90,110,-10.655325,51.943367,-0.3256785
dp75,10,15,90,130,-6.9351583,51.042755,-0.27708277
dp76,10,15,90,150,-3.9004819,50.695034,-0.61560977
dp77,10,15,110,30,-11.436811,34.654995,-2.7285156
dp78,10,15,110,50,-13.405807,36.179104,-2.454052
dp79,10,15,110,70,-16.67528,42.856464,-1.4607091
dp80,10,15,110,90,-16.571642,48.131294,-0.76421195
dp81,10,15,110,110,-13.885988,50.015079,-0.44753748
dp82,10,15,110,130,-10.511732,50.993122,-0.37680033
dp83,10,15,110,150,-7.2476554,49.061081,-0.66377163
dp84,10,15,130,30,-15.168869,33.717022,-2.3920465
dp85,10,15,130,50,-16.972166,34.639549,-2.2186568
dp86,10,15,130,70,-19.302197,39.84174,-1.2835281
dp87,10,15,130,90,-19.399868,45.358215,-0.57598561
dp88,10,15,130,110,-16.900202,47.673244,-0.28643921
dp89,10,15,130,130,-13.183782,47.494171,-0.23695956
dp90,10,15,130,150,-10.136138,46.420521,-0.52090007
dp91,10,15,150,30,-16.704987,29.904062,-2.0005016
dp92,10,15,150,50,-19.422014,32.426243,-1.821239
dp93,10,15,150,70,-21.269886,36.749207,-0.87033236
dp94,10,15,150,90,-21.345617,42.143444,-0.16056721
dp95,10,15,150,110,-18.649687,43.928017,0.10604375
dp96,10,15,150,130,-15.318961,44.787025,0.13182621
dp97,10,15,150,150,-12.245731,43.461716,-0.166062
dp98,10,30,30,30,-8.2390327,27.88718,-1.5574843
dp99,10,30,30,50,-6.9782529,26.283411,-1.8028921
dp100,10,30,30,70,-12.896789,31.956791,-0.72273695
dp101,10,30,30,90,-15.078844,36.449417,0.19099675
dp102,10,30,30,110,-14.831504,40.848125,0.73015159
dp103,10,30,30,130,-12.508329,42.903233,0.83078682
dp104,10,30,30,150,-8.9460621,41.787415,0.63862139
dp105,10,30,50,30,-10.02942,30.881464,-2.2104557
dp106,10,30,50,50,-8.2307243,27.992939,-2.412179
dp107,10,30,50,70,-14.030646,33.98399,-1.369774
dp108,10,30,50,90,-16.743864,40.105133,-0.49400285
dp109,10,30,50,110,-16.337925,44.57378,0.05699528
dp110,10,30,50,130,-13.966346,46.831482,0.098465696
dp111,10,30,50,150,-10.266704,45.419872,-0.081386797
dp112,10,30,70,30,-12.743526,30.553953,-2.5729811
dp113,10,30,70,50,-11.27895,29.173111,-2.9501102
dp114,10,30,70,70,-16.835354,34.933189,-1.9217367
dp115,10,30,70,90,-19.864977,41.279892,-0.94451916
dp116,10,30,70,110,-19.841797,46.912064,-0.52366281
dp117,10,30,70,130,-16.472776,46.909893,-0.40025583
dp118,10,30,70,150,-13.27445,47.301941,-0.62960118
dp119,10,30,90,30,-16.250286,30.490858,-2.8222558
dp120,10,30,90,50,-14.637441,28.344864,-3.1109269
dp121,10,30,90,70,-21.190569,35.260838,-2.0678623
dp122,10,30,90,90,-23.30563,40.837875,-1.2186627
dp123,10,30,90,110,-22.595709,44.907715,-0.78705829
dp124,10,30,90,130,-19.704056,46.056625,-0.67272413
dp125,10,30,90,150,-16.787506,46.742104,-0.88630688
dp126,10,30,110,30,-18.859699,28.005861,-2.7814982
dp127,10,30,110,50,-17.463461,26.238478,-3.0518315
dp128,10,30,110,70,-23.964842,32.99416,-2.0908315
dp129,10,30,110,90,-26.773075,39.410999,-1.2752789
dp130,10,30,110,110,-26.081907,43.48719,-0.82092792
dp131,10,30,110,130,-23.471542,45.242825,-0.75335306
dp132,10,30,110,150,-19.589699,44.309731,-0.94283444
dp133,10,30,130,30,-21.53874,25.887964,-2.6075022
dp134,10,30,130,50,-19.983347,23.697878,-2.7366047
dp135,10,30,130,70,-26.187437,30.063553,-1.8486383
dp136,10,30,130,90,-28.258387,35.414063,-0.99731898
dp137,10,30,130,110,-28.044859,40.00209,-0.56893927
dp138,10,30,130,130,-25.045643,41.183857,-0.48713729
dp139,10,30,130,150,-22.296757,41.905838,-0.73933285
dp140,10,30,150,30,-22.608078,22.269182,-2.2033
dp141,10,30,150,50,-21.798891,21.010344,-2.3341739
dp142,10,30,150,70,-28.141918,27.383633,-1.4032713
dp143,10,30,150,90,-30.645615,33.222347,-0.58546674
dp144,10,30,150,110,-28.514713,35.570122,-0.15948223
dp145,10,30,150,130,-26.653772,38.388756,-0.10641342
dp146,10,30,150,150,-23.185009,37.903465,-0.36607215
dp147,10,45,30,30,-11.127642,22.936323,-1.8222046
dp148,10,45,30,50,-7.2269239,20.878426,-2.3104658
dp149,10,45,30,70,-14.59336,25.091387,-1.4756196
dp150,10,45,30,90,-19.44766,30.272346,-0.54996282
dp151,10,45,30,110,-21.910669,35.58765,0.075056896
dp152,10,45,30,130,-20.870232,38.63739,0.28801325
dp153,10,45,30,150,-18.361567,39.637165,0.11672139
dp154,10,45,50,30,-13.049362,23.299086,-2.4104497
dp155,10,45,50,50,-11.850618,22.837742,-2.6515019
dp156,10,45,50,70,-16.951359,25.520489,-1.9868554
dp157,10,45,50,90,-22.114315,31.331013,-1.1138635
dp158,10,45,50,110,-24.56617,36.730808,-0.48659265
dp159,10,45,50,130,-23.995468,40.330112,-0.27313763
dp160,10,45,50,150,-21.214277,41.206181,-0.43406394
dp161,10,45,70,30,-16.871067,23.294958,-2.6727042
dp162,10,45,70,50,-12.781743,20.914288,-3.1247118
dp163,10,45,70,70,-20.112005,25.154547,-2.3743975
dp164,10,45,70,90,-25.668257,31.292421,-1.5396242
dp165,10,45,70,110,-27.958937,36.665272,-0.92942309
dp166,10,45,70,130,-27.3943,40.405746,-0.72681528
dp167,10,45,70,150,-25.350851,42.561466,-0.9053852
dp168,10,45,90,30,-20.359304,22.2728,-2.8852971
dp169,10,45,90,50,-16.419588,19.58798,-3.216104
dp170,10,45,90,70,-23.74123,23.86326,-2.4873672
dp171,10,45,90,90,-29.273161,29.972754,-1.6735264
dp172,10,45,90,110,-30.894348,34.617222,-1.1183022
dp173,10,45,90,130,-31.218321,39.419632,-0.93633342
dp174,10,45,90,150,-28.010597,39.872841,-1.0865896
dp175,10,45,110,30,-22.430794,19.189054,-2.7433765
dp176,10,45,110,50,-18.948689,17.265942,-3.1085713
dp177,10,45,110,70,-25.771719,20.958956,-2.4102077
dp178,10,45,110,90,-31.659039,27.281466,-1.629885
dp179,10,45,110,110,-33.323532,31.86013,-1.0663003
dp180,10,45,110,130,-32.107082,34.781586,-0.8730945
dp181,10,45,110,150,-30.25798,36.696606,-1.050491
dp182,10,45,130,30,-24.017107,16.297001,-2.5540013
dp183,10,45,130,50,-19.910378,14.250101,-2.8877554
dp184,10,45,130,70,-27.715092,18.374672,-2.1149242
dp185,10,45,130,90,-32.885738,23.923632,-1.3393449
dp186,10,45,130,110,-35.453194,29.220116,-0.82647097
dp187,10,45,130,130,-34.540619,32.410324,-0.68730426
dp188,10,45,130,150,-32.759689,34.615475,-0.84026283
dp189,10,45,150,30,-24.613489,12.002692,-2.4404831
dp190,10,45,150,50,-20.575172,11.179149,-2.4984241
dp191,10,45,150,70,-28.910353,15.024414,-1.7631576
dp192,10,45,150,90,-33.712593,20.769188,-0.94843698
dp193,10,45,150,110,-34.916363,24.847136,-0.45537564
dp194,10,45,150,130,-34.748352,28.97493,-0.29174733
dp195,10,45,150,150,-31.623764,29.477324,-0.46205774
